name,path,xs(pb)
stop,/Madgraph_Simulations/SM_Backgrounds/stop,241.17
ttbar,/Madgraph_Simulations/SM_Backgrounds/ttbar/,504.696
z_jets,/Madgraph_Simulations/SM_Backgrounds/z_jets/,43029.27
w_jets,/Madgraph_Simulations/SM_Backgrounds/w_jets/,146548.3
ww,/Madgraph_Simulations/SM_Backgrounds/ww/,65.50736
zz,/Madgraph_Simulations/SM_Backgrounds/zz/,9.562416
wz,/Madgraph_Simulations/SM_Backgrounds/wz/,24.69184
woRHC_zp_upper_limit_total_tau_tau_mu_1000_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_1000_gu1_75_gzp_0_5,0.043
woRHC_zp_lower_limit_total_tau_tau_mu_1000_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_1000_gu1_75_gzp_0_5,0.06001
woRHC_zp_upper_limit_total_tau_tau_mu_1000_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_1000_gu1_75_gzp_1_5,0.04233
woRHC_zp_lower_limit_total_tau_tau_mu_1000_gu1_75_gzp_1_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_1000_gu1_75_gzp_1_5,0.2005
woRHC_zp_upper_limit_total_tau_tau_mu_1000_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_1000_gu1_75_gzp_2_5,0.04627
woRHC_zp_lower_limit_total_tau_tau_mu_1000_gu1_75_gzp_2_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_1000_gu1_75_gzp_2_5,0.491
woRHC_zp_upper_limit_total_tau_tau_mu_1000_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_1000_gu1_75_gzp_3_5,0.05684
woRHC_zp_lower_limit_total_tau_tau_mu_1000_gu1_75_gzp_3_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_1000_gu1_75_gzp_3_5,0.8385
woRHC_zp_upper_limit_total_tau_tau_mu_1500_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_upper_limit/total_tau_tau/mu_1500_gu1_75_gzp_0_5,0.009017
woRHC_zp_lower_limit_total_tau_tau_mu_1500_gu1_75_gzp_0_5,/disco2/SIMULATIONS/lq_zp/woRHC/zp_lower_limit/total_tau_tau/mu_1500_gu1_75_gzp_0_5,0.01117
